,Instruction,Output
0,သစ်ပင်စိုက်ပျိုးရန် အကောင်းဆုံးအချိန်က ဘယ်အချိန်လဲ?,မိုးရာသီအစပိုင်းသည် သစ်ပင်စိုက်ပျိုးရန် အကောင်းဆုံးအချိန်ဖြစ်သည်
1,သစ်ပင်စိုက်ပျိုးရန် မြေကို ဘယ်လိုပြင်ဆင်ရမလဲ?,မြေကို တူးဆွနပြီး အော်ဂဲနစ် များထည့်၍ ပြင်ဆင်ပါ
2,မျိုးစေ့နှင့် seedling တို့အကြား ဘာကွာခြားမှုရှိသလဲ?,မျိုးစေ့သည် စတင်အသက်ဝင်ခြင်းဖြစ်ပြီး seedling သည် ငယ်ရွယ်သေးသော အပင်ငယ်လေးဖြစ်သည်
3,သစ်ပင်စိုက်ပျိုးရာတွင် ရေဘယ်လောက်လိုအပ်သလဲ?,ပထမရက်သတ္တပတ်အနည်းငယ်တွင် နေ့စဉ်ရေလောင်းပေးရန်လိုအပ်သည်
4,မည်သည့်အပင်မျိုးစိုက်ရန်ကို ဘယ်လိုရွေးချယ်ရမလဲ?,ဒေသရာသီဥတုနှင့် မြေအမျိုးအစားနှင့်ကိုက်ညီသော သစ်ပင်မျိုးကို ရွေးချယ်ပါ
5,သစ်ပင်စိုက်ပျိုးရာတွင် မြေဆီလွှာ pH (အချဉ်ဓာတ်) က ဘာကြောင့်အရေးကြီးသလဲ?,မြေဆီလွှာ pH (အချဉ်ဓာတ်) သည် အပင်၏ အာဟာရစုပ်ယူနိုင်မှုအပေါ် သက်ရောက်မှုရှိသည်
6,သစ်ပင်စိုက်ပျိုးရာတွင် နေရာအကျယ်အဝန်း က ဘာကြောင့်အရေးကြီးသလဲ?,သင့်တော်သော နေရာအကျယ်အဝန်း သည် သစ်ပင်များ ကြီးထွားရန်နှင့် ကျန်းမာရန် လုံလောက်သော နေရာရစေသည်
7,သစ်ပင်စိုက်ပျိုးပြီးနောက် ဘယ်လို စောင့်ရှောက်ရမလဲ?,ပုံမှန်ရေလောင်းခြင်း၊ မြေဆီထည့်ခြင်းနှင့် ပေါင်းသင်ခြင်း တို့ဖြင့် စောင့်ရှောက်ပါ
8,Mulching ဆိုတာ ဘာလဲ။ သစ်ပင်အတွက် ဘာကြောင့်အရေးကြီးသလဲ?,Mulching သည် မြေဆီလွှာကို အုပ်ထားခြင်းဖြစ်ပြီး စိုထိုင်းဆထိန်းသိမ်းရန်နှင့် ပေါင်းပင်ထိန်းချုပ်ရန် အထောက်အကူပြုသည်။
9,Mulching အကြောင်းရှင်းပြပါ။,Mulching သည် မြေဆွေး မခြောက်သွေ့စေရန်၊ ပေါင်းပင်များ သေစေရန်၊ အမြစ်ကိုကာကွယ်ရန် အုပ်ရသော ကောက်ရိုး၊ သစ်ရွက်ဆွေး၊ ပလတ်စတစ် စသည် မြေငွေ့ထိန်းခြင်းဖြစ်သည်။
